"role","skills","demand_count"
"Business Analyst","airflow","6"
"Business Analyst","alteryx","16"
"Business Analyst","ansible","1"
"Business Analyst","assembly","1"
"Business Analyst","atlassian","2"
"Business Analyst","aws","24"
"Business Analyst","azure","20"
"Business Analyst","bigquery","11"
"Business Analyst","bitbucket","2"
"Business Analyst","c","7"
"Business Analyst","c#","2"
"Business Analyst","c++","5"
"Business Analyst","cassandra","2"
"Business Analyst","centos","1"
"Business Analyst","cognos","2"
"Business Analyst","confluence","3"
"Business Analyst","crystal","3"
"Business Analyst","css","2"
"Business Analyst","databricks","3"
"Business Analyst","dax","13"
"Business Analyst","db2","5"
"Business Analyst","delphi","1"
"Business Analyst","docker","2"
"Business Analyst","electron","1"
"Business Analyst","excel","182"
"Business Analyst","express","4"
"Business Analyst","flow","43"
"Business Analyst","flutter","1"
"Business Analyst","gcp","8"
"Business Analyst","gdpr","4"
"Business Analyst","git","4"
"Business Analyst","github","3"
"Business Analyst","gitlab","2"
"Business Analyst","go","28"
"Business Analyst","hadoop","11"
"Business Analyst","html","3"
"Business Analyst","java","9"
"Business Analyst","javascript","9"
"Business Analyst","jenkins","2"
"Business Analyst","jira","12"
"Business Analyst","jquery","1"
"Business Analyst","julia","1"
"Business Analyst","jupyter","1"
"Business Analyst","kafka","4"
"Business Analyst","linux","4"
"Business Analyst","looker","20"
"Business Analyst","matlab","1"
"Business Analyst","matplotlib","1"
"Business Analyst","microstrategy","10"
"Business Analyst","monday.com","1"
"Business Analyst","mongodb","4"
"Business Analyst","ms access","3"
"Business Analyst","mysql","11"
"Business Analyst","nosql","9"
"Business Analyst","numpy","1"
"Business Analyst","opencv","1"
"Business Analyst","oracle","30"
"Business Analyst","outlook","17"
"Business Analyst","pandas","3"
"Business Analyst","perl","1"
"Business Analyst","phoenix","14"
"Business Analyst","php","1"
"Business Analyst","planner","1"
"Business Analyst","postgresql","3"
"Business Analyst","power bi","121"
"Business Analyst","powerpoint","65"
"Business Analyst","pyspark","1"
"Business Analyst","python","109"
"Business Analyst","pytorch","2"
"Business Analyst","qlik","13"
"Business Analyst","r","57"
"Business Analyst","redis","1"
"Business Analyst","redshift","13"
"Business Analyst","ruby","2"
"Business Analyst","sap","30"
"Business Analyst","sas","56"
"Business Analyst","scala","5"
"Business Analyst","scikit-learn","1"
"Business Analyst","seaborn","1"
"Business Analyst","selenium","1"
"Business Analyst","sharepoint","7"
"Business Analyst","sheets","5"
"Business Analyst","shell","5"
"Business Analyst","slack","2"
"Business Analyst","smartsheet","1"
"Business Analyst","snowflake","31"
"Business Analyst","spark","11"
"Business Analyst","splunk","1"
"Business Analyst","spreadsheet","8"
"Business Analyst","spring","4"
"Business Analyst","spss","5"
"Business Analyst","sql","254"
"Business Analyst","sql server","27"
"Business Analyst","ssis","17"
"Business Analyst","ssrs","21"
"Business Analyst","svn","1"
"Business Analyst","swift","4"
"Business Analyst","t-sql","4"
"Business Analyst","tableau","172"
"Business Analyst","tensorflow","2"
"Business Analyst","terminal","1"
"Business Analyst","terraform","1"
"Business Analyst","trello","1"
"Business Analyst","unify","1"
"Business Analyst","unity","1"
"Business Analyst","unix","4"
"Business Analyst","vba","11"
"Business Analyst","visio","15"
"Business Analyst","windows","6"
"Business Analyst","wire","3"
"Business Analyst","word","45"
"Business Analyst","zoom","1"
"Data Analyst","airflow","59"
"Data Analyst","airtable","5"
"Data Analyst","alteryx","102"
"Data Analyst","angular","12"
"Data Analyst","ansible","2"
"Data Analyst","arch","1"
"Data Analyst","asana","8"
"Data Analyst","asp.net","3"
"Data Analyst","assembly","19"
"Data Analyst","atlassian","10"
"Data Analyst","aurora","5"
"Data Analyst","aws","242"
"Data Analyst","azure","269"
"Data Analyst","bash","11"
"Data Analyst","bigquery","70"
"Data Analyst","bitbucket","4"
"Data Analyst","c","74"
"Data Analyst","c#","58"
"Data Analyst","c++","53"
"Data Analyst","cassandra","9"
"Data Analyst","chainer","1"
"Data Analyst","chef","3"
"Data Analyst","cobol","3"
"Data Analyst","cognos","59"
"Data Analyst","confluence","45"
"Data Analyst","cordova","1"
"Data Analyst","crystal","69"
"Data Analyst","css","25"
"Data Analyst","dart","3"
"Data Analyst","databricks","88"
"Data Analyst","dax","60"
"Data Analyst","db2","32"
"Data Analyst","django","6"
"Data Analyst","docker","25"
"Data Analyst","dplyr","3"
"Data Analyst","drupal","5"
"Data Analyst","dynamodb","5"
"Data Analyst","elasticsearch","9"
"Data Analyst","electron","2"
"Data Analyst","excel","1770"
"Data Analyst","express","90"
"Data Analyst","firebase","2"
"Data Analyst","flask","6"
"Data Analyst","flow","228"
"Data Analyst","fortran","1"
"Data Analyst","gcp","73"
"Data Analyst","gdpr","30"
"Data Analyst","ggplot2","7"
"Data Analyst","git","65"
"Data Analyst","github","48"
"Data Analyst","gitlab","4"
"Data Analyst","go","243"
"Data Analyst","golang","1"
"Data Analyst","graphql","3"
"Data Analyst","hadoop","111"
"Data Analyst","html","42"
"Data Analyst","hugging face","2"
"Data Analyst","ibm cloud","5"
"Data Analyst","java","109"
"Data Analyst","javascript","123"
"Data Analyst","jenkins","18"
"Data Analyst","jira","111"
"Data Analyst","jquery","5"
"Data Analyst","julia","5"
"Data Analyst","jupyter","30"
"Data Analyst","kafka","38"
"Data Analyst","keras","3"
"Data Analyst","kubernetes","24"
"Data Analyst","linux","50"
"Data Analyst","looker","201"
"Data Analyst","macos","4"
"Data Analyst","mariadb","2"
"Data Analyst","matlab","78"
"Data Analyst","matplotlib","22"
"Data Analyst","microsoft teams","11"
"Data Analyst","microstrategy","30"
"Data Analyst","monday.com","3"
"Data Analyst","mongo","8"
"Data Analyst","mongodb","46"
"Data Analyst","ms access","56"
"Data Analyst","mxnet","2"
"Data Analyst","mysql","56"
"Data Analyst","neo4j","12"
"Data Analyst","no-sql","5"
"Data Analyst","node","4"
"Data Analyst","node.js","3"
"Data Analyst","nosql","90"
"Data Analyst","notion","5"
"Data Analyst","npm","4"
"Data Analyst","numpy","46"
"Data Analyst","opencv","1"
"Data Analyst","oracle","271"
"Data Analyst","outlook","159"
"Data Analyst","pandas","75"
"Data Analyst","perl","17"
"Data Analyst","phoenix","17"
"Data Analyst","php","28"
"Data Analyst","planner","9"
"Data Analyst","plotly","21"
"Data Analyst","postgresql","35"
"Data Analyst","power bi","868"
"Data Analyst","powerpoint","437"
"Data Analyst","powershell","27"
"Data Analyst","puppet","2"
"Data Analyst","pyspark","43"
"Data Analyst","python","1501"
"Data Analyst","pytorch","15"
