"role","skills","avg_yearly_salary"
"Business Analyst","airflow","135410.000000000000"
"Data Analyst","airflow","118832.042372881356"
"Data Scientist","airflow","156300.032031250000"
"Data Analyst","airtable","90007.500000000000"
"Data Scientist","airtable","201142.857142857143"
"Business Analyst","alteryx","95496.875000000000"
"Data Analyst","alteryx","107611.863204656863"
"Data Scientist","alteryx","121319.192857142857"
"Data Analyst","angular","102103.250000000000"
"Data Scientist","angular","98290.178571428571"
"Business Analyst","ansible","89100.000000000000"
"Data Analyst","ansible","124370.000000000000"
"Data Scientist","ansible","101507.300000000000"
"Data Scientist","apl","90000.000000000000"
"Data Analyst","arch","95005.000000000000"
"Data Scientist","arch","137376.000000000000"
"Data Analyst","asana","91360.937500000000"
"Data Scientist","asana","215477.375000000000"
"Data Analyst","asp.net","101666.666666666667"
"Data Scientist","asp.net","112922.071428571429"
"Business Analyst","assembly","89100.000000000000"
"Data Analyst","assembly","81541.789473684211"
"Data Scientist","assembly","132272.666666666667"
"Business Analyst","atlassian","81000.000000000000"
"Data Analyst","atlassian","111367.500000000000"
"Data Scientist","atlassian","136770.968750000000"
"Data Analyst","aurora","113393.900000000000"
"Data Scientist","aurora","124058.468039772727"
"Business Analyst","aws","106037.590494791667"
"Data Analyst","aws","106936.228886880165"
"Data Scientist","aws","136017.304895279255"
"Business Analyst","azure","104145.000000000000"
"Data Analyst","azure","104878.763475836431"
"Data Scientist","azure","131151.635483440171"
"Data Analyst","bash","111097.248934659091"
"Data Scientist","bash","118620.012457770270"
"Business Analyst","bigquery","90522.727272727273"
"Data Analyst","bigquery","104827.971428571429"
"Data Scientist","bigquery","146878.980670103093"
"Business Analyst","bitbucket","92475.000000000000"
"Data Analyst","bitbucket","80490.375000000000"
"Data Scientist","bitbucket","136409.857142857143"
"Business Analyst","c","123328.571428571429"
"Data Analyst","c","98681.550042229730"
"Data Scientist","c","137685.931132812500"
"Business Analyst","c#","104575.000000000000"
"Data Analyst","c#","98359.844827586207"
"Data Scientist","c#","121714.158181179775"
"Business Analyst","c++","111176.000000000000"
"Data Analyst","c++","107776.490566037736"
"Data Scientist","c++","133397.126021888186"
"Business Analyst","cassandra","108487.500000000000"
"Data Analyst","cassandra","121108.166666666667"
"Data Scientist","cassandra","128339.015151515152"
"Business Analyst","centos","30000.000000000000"
"Data Scientist","centos","137324.098214285714"
"Data Analyst","chainer","100000.000000000000"
"Data Analyst","chef","82100.000000000000"
"Data Scientist","chef","100308.388888888889"
"Data Scientist","clojure","153897.500000000000"
"Data Analyst","cobol","91326.333333333333"
"Data Scientist","codecommit","191900.000000000000"
"Business Analyst","cognos","74120.000000000000"
"Data Analyst","cognos","89664.096927966102"
"Data Scientist","cognos","95923.066666666667"
"Business Analyst","confluence","79166.666666666667"
"Data Analyst","confluence","114288.822222222222"
"Data Scientist","confluence","122369.075076219512"
"Data Analyst","cordova","113269.500000000000"
"Data Scientist","cordova","122016.250000000000"
"Data Scientist","couchbase","127134.750000000000"
"Business Analyst","crystal","93000.000000000000"
"Data Analyst","crystal","85599.670742753623"
"Data Scientist","crystal","110900.421052631579"
"Business Analyst","css","71250.000000000000"
"Data Analyst","css","91299.140000000000"
"Data Scientist","css","106299.770647321429"
"Data Analyst","dart","72673.833333333333"
"Data Scientist","dart","134833.750000000000"
"Business Analyst","databricks","94400.000000000000"
"Data Analyst","databricks","110472.659090909091"
"Data Scientist","databricks","133933.873271004098"
"Data Scientist","datarobot","119364.666666666667"
"Business Analyst","dax","98061.538461538462"
"Data Analyst","dax","97874.673697916667"
