"role","skill","demand_count","avg_yearly_salary"
"Business Analyst","sql","254","94934"
"Business Analyst","python","109","103194"
"Business Analyst","nosql","9","121295"
"Business Analyst","scala","5","101236"
"Business Analyst","java","9","92181"
"Business Analyst","r","57","107081"
"Business Analyst","shell","5","87628"
"Business Analyst","sas","28","103164"
"Business Analyst","go","28","110499"
"Business Analyst","javascript","9","77617"
"Business Analyst","html","3","74852"
"Business Analyst","css","2","71250"
"Business Analyst","c++","5","111176"
"Business Analyst","c#","2","104575"
"Business Analyst","matlab","1","120000"
"Business Analyst","t-sql","4","91400"
"Business Analyst","mongodb","2","118000"
"Business Analyst","vba","11","86530"
"Business Analyst","crystal","3","93000"
"Business Analyst","php","1","136100"
"Business Analyst","c","7","123329"
"Business Analyst","julia","1","136100"
"Business Analyst","ruby","1","150000"
"Business Analyst","perl","1","79200"
"Business Analyst","assembly","1","89100"
"Business Analyst","swift","4","103374"
"Business Analyst","delphi","1","98496"
"Business Analyst","redis","1","90000"
"Business Analyst","mysql","11","96449"
"Business Analyst","postgresql","3","55700"
"Business Analyst","sql server","27","89612"
"Business Analyst","mongodb","2","118000"
"Business Analyst","cassandra","2","108488"
"Business Analyst","db2","5","104585"
"Business Analyst","azure","20","104145"
"Business Analyst","databricks","3","94400"
"Business Analyst","aws","24","106038"
"Business Analyst","bigquery","11","90523"
"Business Analyst","redshift","13","95533"
"Business Analyst","oracle","30","92739"
"Business Analyst","snowflake","31","113611"
"Business Analyst","gcp","8","94366"
"Business Analyst","spark","11","112781"
"Business Analyst","pandas","3","110558"
"Business Analyst","numpy","1","157500"
"Business Analyst","pyspark","1","105300"
"Business Analyst","airflow","6","135410"
"Business Analyst","hadoop","11","149349"
"Business Analyst","kafka","4","100660"
"Business Analyst","tensorflow","2","125500"
"Business Analyst","pytorch","2","125500"
"Business Analyst","jupyter","1","50400"
"Business Analyst","spring","4","86500"
"Business Analyst","gdpr","4","82650"
"Business Analyst","scikit-learn","1","120000"
"Business Analyst","matplotlib","1","120000"
"Business Analyst","flutter","1","43200"
"Business Analyst","seaborn","1","120000"
"Business Analyst","opencv","1","89100"
"Business Analyst","electron","1","131000"
"Business Analyst","selenium","1","90000"
"Business Analyst","phoenix","14","135142"
"Business Analyst","express","4","90825"
"Business Analyst","ruby","1","150000"
"Business Analyst","jquery","1","156000"
"Business Analyst","unix","4","100335"
"Business Analyst","linux","4","78700"
"Business Analyst","windows","6","80433"
"Business Analyst","centos","1","30000"
"Business Analyst","excel","182","85590"
"Business Analyst","tableau","172","98297"
"Business Analyst","power bi","121","91637"
"Business Analyst","dax","13","98062"
"Business Analyst","looker","20","105626"
"Business Analyst","sas","28","103164"
"Business Analyst","qlik","13","74880"
"Business Analyst","word","45","85907"
